monthofyear,dayofmonth,weekday,Date,Hour,load,prevload,T
01,03,2,03-01-2006,23,3415.0,3210.0,19.33
01,03,2,03-01-2006,24,3121.0,2913.0,17.67
01,04,3,04-01-2006,1,2934.0,2734.0,19.67
01,04,3,04-01-2006,2,2847.0,2661.0,18.33
01,04,3,04-01-2006,3,2802.0,2624.0,17.67
01,04,3,04-01-2006,4,2814.0,2641.0,16.0
01,04,3,04-01-2006,5,2914.0,2742.0,15.67
01,04,3,04-01-2006,6,3217.0,3051.0,13.67
01,04,3,04-01-2006,7,3773.0,3601.0,12.67
01,04,3,04-01-2006,8,4008.0,3886.0,12.67
01,04,3,04-01-2006,9,3989.0,3910.0,13.0
01,04,3,04-01-2006,10,3962.0,3944.0,16.0
01,04,3,04-01-2006,11,3946.0,3975.0,21.0
01,04,3,04-01-2006,12,3943.0,3961.0,24.33
01,04,3,04-01-2006,13,3873.0,3928.0,26.33
01,04,3,04-01-2006,14,3830.0,3883.0,29.0
01,04,3,04-01-2006,15,3793.0,3835.0,30.33
01,04,3,04-01-2006,16,3846.0,3857.0,29.67
01,04,3,04-01-2006,17,4169.0,4135.0,28.67
01,04,3,04-01-2006,18,4407.0,4420.0,28.67
01,04,3,04-01-2006,19,4374.0,4396.0,28.0
01,04,3,04-01-2006,20,4258.0,4283.0,26.33
01,04,3,04-01-2006,21,4078.0,4114.0,26.0
01,04,3,04-01-2006,22,3760.0,3815.0,26.33
01,04,3,04-01-2006,23,3367.0,3415.0,27.33
01,04,3,04-01-2006,24,3053.0,3121.0,27.33
01,05,4,05-01-2006,1,2847.0,2934.0,27.0
01,05,4,05-01-2006,2,2749.0,2847.0,26.33
01,05,4,05-01-2006,3,2704.0,2802.0,26.33
01,05,4,05-01-2006,4,2713.0,2814.0,26.33
01,05,4,05-01-2006,5,2801.0,2914.0,27.0
01,05,4,05-01-2006,6,3084.0,3217.0,26.0
01,05,4,05-01-2006,7,3627.0,3773.0,26.67
01,05,4,05-01-2006,8,3915.0,4008.0,27.0
01,05,4,05-01-2006,9,3926.0,3989.0,27.67
01,05,4,05-01-2006,10,3952.0,3962.0,28.0
01,05,4,05-01-2006,11,4011.0,3946.0,28.0
01,05,4,05-01-2006,12,4024.0,3943.0,28.33
01,05,4,05-01-2006,13,3976.0,3873.0,29.0
01,05,4,05-01-2006,14,3916.0,3830.0,29.67
01,05,4,05-01-2006,15,3857.0,3793.0,30.33
01,05,4,05-01-2006,16,3866.0,3846.0,30.33
01,05,4,05-01-2006,17,4113.0,4169.0,30.67
01,05,4,05-01-2006,18,4368.0,4407.0,30.67
01,05,4,05-01-2006,19,4337.0,4374.0,30.33
01,05,4,05-01-2006,20,4219.0,4258.0,30.0
01,05,4,05-01-2006,21,4031.0,4078.0,30.33
01,05,4,05-01-2006,22,3716.0,3760.0,30.0
01,05,4,05-01-2006,23,3324.0,3367.0,29.67
01,05,4,05-01-2006,24,3012.0,3053.0,29.0
01,06,5,06-01-2006,1,2808.0,2847.0,29.33
01,06,5,06-01-2006,2,2710.0,2749.0,28.67
01,06,5,06-01-2006,3,2663.0,2704.0,28.33
01,06,5,06-01-2006,4,2679.0,2713.0,28.0
01,06,5,06-01-2006,5,2764.0,2801.0,28.33
01,06,5,06-01-2006,6,3047.0,3084.0,27.67
01,06,5,06-01-2006,7,3578.0,3627.0,27.0
01,06,5,06-01-2006,8,3843.0,3915.0,26.67
01,06,5,06-01-2006,9,3852.0,3926.0,26.67
01,06,5,06-01-2006,10,3880.0,3952.0,26.33
01,06,5,06-01-2006,11,3915.0,4011.0,27.0
01,06,5,06-01-2006,12,3933.0,4024.0,26.67
01,06,5,06-01-2006,13,3873.0,3976.0,27.33
01,06,5,06-01-2006,14,3854.0,3916.0,27.67
01,06,5,06-01-2006,15,3828.0,3857.0,27.33
01,06,5,06-01-2006,16,3863.0,3866.0,28.0
01,06,5,06-01-2006,17,4094.0,4113.0,27.67
01,06,5,06-01-2006,18,4274.0,4368.0,26.33
01,06,5,06-01-2006,19,4204.0,4337.0,26.67
01,06,5,06-01-2006,20,4060.0,4219.0,26.0
01,06,5,06-01-2006,21,3914.0,4031.0,25.67
01,06,5,06-01-2006,22,3691.0,3716.0,24.67
01,06,5,06-01-2006,23,3388.0,3324.0,24.33
01,06,5,06-01-2006,24,3098.0,3012.0,23.33
01,07,6,07-01-2006,1,2895.0,2808.0,22.33
01,07,6,07-01-2006,2,2799.0,2710.0,21.0
01,07,6,07-01-2006,3,2747.0,2663.0,20.0
01,07,6,07-01-2006,4,2745.0,2679.0,18.33
01,07,6,07-01-2006,5,2790.0,2764.0,17.33
01,07,6,07-01-2006,6,2907.0,3047.0,16.0
01,07,6,07-01-2006,7,3118.0,3578.0,14.67
01,07,6,07-01-2006,8,3363.0,3843.0,11.67
01,07,6,07-01-2006,9,3609.0,3852.0,10.0
01,07,6,07-01-2006,10,3751.0,3880.0,13.0
01,07,6,07-01-2006,11,3780.0,3915.0,17.33
01,07,6,07-01-2006,12,3752.0,3933.0,19.33
01,07,6,07-01-2006,13,3666.0,3873.0,21.33
01,07,6,07-01-2006,14,3592.0,3854.0,23.33
01,07,6,07-01-2006,15,3533.0,3828.0,24.33
01,07,6,07-01-2006,16,3571.0,3863.0,24.33
01,07,6,07-01-2006,17,3864.0,4094.0,24.67
01,07,6,07-01-2006,18,4180.0,4274.0,23.0
01,07,6,07-01-2006,19,4135.0,4204.0,18.33
01,07,6,07-01-2006,20,4007.0,4060.0,16.67
01,07,6,07-01-2006,21,3864.0,3914.0,15.33
01,07,6,07-01-2006,22,3664.0,3691.0,16.33
01,07,6,07-01-2006,23,3385.0,3388.0,15.67
01,07,6,07-01-2006,24,3132.0,3098.0,15.0
01,08,7,08-01-2006,1,2915.0,2895.0,15.0
01,08,7,08-01-2006,2,2803.0,2799.0,15.33
01,08,7,08-01-2006,3,2742.0,2747.0,16.0
01,08,7,08-01-2006,4,2730.0,2745.0,15.67
01,08,7,08-01-2006,5,2749.0,2790.0,16.33
01,08,7,08-01-2006,6,2819.0,2907.0,18.33
01,08,7,08-01-2006,7,2964.0,3118.0,18.67
01,08,7,08-01-2006,8,3175.0,3363.0,17.67
01,08,7,08-01-2006,9,3426.0,3609.0,19.0
01,08,7,08-01-2006,10,3623.0,3751.0,20.67
01,08,7,08-01-2006,11,3705.0,3780.0,23.33
01,08,7,08-01-2006,12,3741.0,3752.0,24.0
01,08,7,08-01-2006,13,3708.0,3666.0,25.33
01,08,7,08-01-2006,14,3638.0,3592.0,26.67
01,08,7,08-01-2006,15,3563.0,3533.0,28.0
01,08,7,08-01-2006,16,3580.0,3571.0,29.0
01,08,7,08-01-2006,17,3905.0,3864.0,28.33
01,08,7,08-01-2006,18,4219.0,4180.0,26.33
01,08,7,08-01-2006,19,4180.0,4135.0,23.0
01,08,7,08-01-2006,20,4051.0,4007.0,23.0
01,08,7,08-01-2006,21,3865.0,3864.0,20.67
01,08,7,08-01-2006,22,3562.0,3664.0,20.33
01,08,7,08-01-2006,23,3221.0,3385.0,18.67
01,08,7,08-01-2006,24,2970.0,3132.0,20.0
01,09,1,09-01-2006,1,2800.0,2915.0,20.67
01,09,1,09-01-2006,2,2717.0,2803.0,22.0
01,09,1,09-01-2006,3,2690.0,2742.0,23.33
01,09,1,09-01-2006,4,2711.0,2730.0,23.33
01,09,1,09-01-2006,5,2814.0,2749.0,24.33
01,09,1,09-01-2006,6,3125.0,2819.0,24.33
01,09,1,09-01-2006,7,3679.0,2964.0,25.0
01,09,1,09-01-2006,8,3951.0,3175.0,25.67
01,09,1,09-01-2006,9,3961.0,3426.0,25.67
01,09,1,09-01-2006,10,4013.0,3623.0,26.0
01,09,1,09-01-2006,11,4059.0,3705.0,27.0
01,09,1,09-01-2006,12,4054.0,3741.0,28.67
01,09,1,09-01-2006,13,4013.0,3708.0,29.67
01,09,1,09-01-2006,14,3984.0,3638.0,30.33
01,09,1,09-01-2006,15,3924.0,3563.0,30.33
01,09,1,09-01-2006,16,3932.0,3580.0,31.0
01,09,1,09-01-2006,17,4142.0,3905.0,30.67
01,09,1,09-01-2006,18,4385.0,4219.0,30.67
01,09,1,09-01-2006,19,4313.0,4180.0,30.0
01,09,1,09-01-2006,20,4180.0,4051.0,30.0
01,09,1,09-01-2006,21,3972.0,3865.0,30.0
01,09,1,09-01-2006,22,3665.0,3562.0,32.67
01,09,1,09-01-2006,23,3271.0,3221.0,33.67
01,09,1,09-01-2006,24,2964.0,2970.0,33.0
01,10,2,10-01-2006,1,2775.0,2800.0,30.33
01,10,2,10-01-2006,2,2673.0,2717.0,29.33
01,10,2,10-01-2006,3,2633.0,2690.0,28.33
01,10,2,10-01-2006,4,2646.0,2711.0,27.33
01,10,2,10-01-2006,5,2739.0,2814.0,28.0
01,10,2,10-01-2006,6,3045.0,3125.0,29.67
01,10,2,10-01-2006,7,3603.0,3679.0,28.0
01,10,2,10-01-2006,8,3832.0,3951.0,28.0
01,10,2,10-01-2006,9,3807.0,3961.0,25.67
01,10,2,10-01-2006,10,3783.0,4013.0,31.0
01,10,2,10-01-2006,11,3757.0,4059.0,33.67
01,10,2,10-01-2006,12,3741.0,4054.0,35.67
01,10,2,10-01-2006,13,3702.0,4013.0,37.67
01,10,2,10-01-2006,14,3681.0,3984.0,39.0
01,10,2,10-01-2006,15,3640.0,3924.0,39.33
01,10,2,10-01-2006,16,3659.0,3932.0,40.0
01,10,2,10-01-2006,17,3925.0,4142.0,38.67
01,10,2,10-01-2006,18,4271.0,4385.0,36.67
01,10,2,10-01-2006,19,4253.0,4313.0,33.0
01,10,2,10-01-2006,20,4136.0,4180.0,30.0
01,10,2,10-01-2006,21,3963.0,3972.0,29.67
01,10,2,10-01-2006,22,3669.0,3665.0,28.67
01,10,2,10-01-2006,23,3287.0,3271.0,28.0
01,10,2,10-01-2006,24,2986.0,2964.0,27.0
01,11,3,11-01-2006,1,2807.0,2775.0,27.33
01,11,3,11-01-2006,2,2703.0,2673.0,27.67
01,11,3,11-01-2006,3,2654.0,2633.0,29.0
01,11,3,11-01-2006,4,2649.0,2646.0,29.0
01,11,3,11-01-2006,5,2738.0,2739.0,28.67
01,11,3,11-01-2006,6,3010.0,3045.0,30.33
01,11,3,11-01-2006,7,3557.0,3603.0,31.67
01,11,3,11-01-2006,8,3831.0,3832.0,32.67
01,11,3,11-01-2006,9,3814.0,3807.0,33.0
01,11,3,11-01-2006,10,3823.0,3783.0,34.67
01,11,3,11-01-2006,11,3830.0,3757.0,36.33
01,11,3,11-01-2006,12,3840.0,3741.0,39.33
01,11,3,11-01-2006,13,3794.0,3702.0,41.0
01,11,3,11-01-2006,14,3778.0,3681.0,43.0
01,11,3,11-01-2006,15,3733.0,3640.0,42.33
01,11,3,11-01-2006,16,3756.0,3659.0,43.67
01,11,3,11-01-2006,17,3987.0,3925.0,43.0
01,11,3,11-01-2006,18,4227.0,4271.0,41.67
01,11,3,11-01-2006,19,4173.0,4253.0,41.33
01,11,3,11-01-2006,20,4056.0,4136.0,41.33
01,11,3,11-01-2006,21,3862.0,3963.0,41.0
01,11,3,11-01-2006,22,3534.0,3669.0,40.0
01,11,3,11-01-2006,23,3151.0,3287.0,38.67
01,11,3,11-01-2006,24,2842.0,2986.0,41.67
01,12,4,12-01-2006,1,2635.0,2807.0,41.67
01,12,4,12-01-2006,2,2529.0,2703.0,41.67
01,12,4,12-01-2006,3,2488.0,2654.0,40.33
01,12,4,12-01-2006,4,2493.0,2649.0,41.67
01,12,4,12-01-2006,5,2585.0,2738.0,43.0
01,12,4,12-01-2006,6,2856.0,3010.0,42.0
01,12,4,12-01-2006,7,3409.0,3557.0,41.0
01,12,4,12-01-2006,8,3662.0,3831.0,39.67
01,12,4,12-01-2006,9,3650.0,3814.0,39.67
01,12,4,12-01-2006,10,3673.0,3823.0,41.33
01,12,4,12-01-2006,11,3686.0,3830.0,43.0
01,12,4,12-01-2006,12,3673.0,3840.0,44.33
01,12,4,12-01-2006,13,3629.0,3794.0,45.33
01,12,4,12-01-2006,14,3597.0,3778.0,46.0
01,12,4,12-01-2006,15,3552.0,3733.0,46.0
01,12,4,12-01-2006,16,3564.0,3756.0,46.67
01,12,4,12-01-2006,17,3815.0,3987.0,45.33
01,12,4,12-01-2006,18,4146.0,4227.0,43.33
01,12,4,12-01-2006,19,4154.0,4173.0,40.67
01,12,4,12-01-2006,20,4055.0,4056.0,38.0
01,12,4,12-01-2006,21,3884.0,3862.0,35.33
01,12,4,12-01-2006,22,3594.0,3534.0,34.0
01,12,4,12-01-2006,23,3211.0,3151.0,31.33
01,12,4,12-01-2006,24,2845.0,2842.0,31.0
01,13,5,13-01-2006,1,2658.0,2635.0,29.67
01,13,5,13-01-2006,2,2583.0,2529.0,29.33
01,13,5,13-01-2006,3,2543.0,2488.0,32.0
01,13,5,13-01-2006,4,2569.0,2493.0,31.33
01,13,5,13-01-2006,5,2655.0,2585.0,31.0
01,13,5,13-01-2006,6,2995.0,2856.0,31.33
01,13,5,13-01-2006,7,3549.0,3409.0,29.0
01,13,5,13-01-2006,8,3806.0,3662.0,30.0
01,13,5,13-01-2006,9,3788.0,3650.0,28.67
01,13,5,13-01-2006,10,3737.0,3673.0,34.0
01,13,5,13-01-2006,11,3732.0,3686.0,38.33
01,13,5,13-01-2006,12,3712.0,3673.0,41.33
01,13,5,13-01-2006,13,3644.0,3629.0,44.33
01,13,5,13-01-2006,14,3610.0,3597.0,45.67
01,13,5,13-01-2006,15,3553.0,3552.0,46.33
01,13,5,13-01-2006,16,3554.0,3564.0,47.33
01,13,5,13-01-2006,17,3764.0,3815.0,47.0
01,13,5,13-01-2006,18,4015.0,4146.0,46.0
01,13,5,13-01-2006,19,3959.0,4154.0,46.0
01,13,5,13-01-2006,20,3803.0,4055.0,46.67
01,13,5,13-01-2006,21,3646.0,3884.0,46.67
01,13,5,13-01-2006,22,3403.0,3594.0,44.67
01,13,5,13-01-2006,23,3093.0,3211.0,45.0
01,13,5,13-01-2006,24,2800.0,2845.0,44.67
01,14,6,14-01-2006,1,2580.0,2658.0,44.67
01,14,6,14-01-2006,2,2464.0,2583.0,45.67
01,14,6,14-01-2006,3,2401.0,2543.0,44.0
01,14,6,14-01-2006,4,2372.0,2569.0,43.67
01,14,6,14-01-2006,5,2402.0,2655.0,45.67
01,14,6,14-01-2006,6,2505.0,2995.0,43.67
01,14,6,14-01-2006,7,2712.0,3549.0,43.67
01,14,6,14-01-2006,8,3006.0,3806.0,44.67
01,14,6,14-01-2006,9,3298.0,3788.0,44.67
01,14,6,14-01-2006,10,3528.0,3737.0,49.33
01,14,6,14-01-2006,11,3640.0,3732.0,52.33
01,14,6,14-01-2006,12,3655.0,3712.0,53.0
01,14,6,14-01-2006,13,3606.0,3644.0,53.0
01,14,6,14-01-2006,14,3551.0,3610.0,51.67
01,14,6,14-01-2006,15,3494.0,3553.0,48.0
01,14,6,14-01-2006,16,3500.0,3554.0,47.67
01,14,6,14-01-2006,17,3689.0,3764.0,45.33
01,14,6,14-01-2006,18,3870.0,4015.0,42.0
01,14,6,14-01-2006,19,3813.0,3959.0,41.33
01,14,6,14-01-2006,20,3667.0,3803.0,40.33
01,14,6,14-01-2006,21,3490.0,3646.0,39.67
01,14,6,14-01-2006,22,3284.0,3403.0,35.0
01,14,6,14-01-2006,23,3052.0,3093.0,34.67
01,14,6,14-01-2006,24,2831.0,2800.0,32.0
01,15,7,15-01-2006,1,2627.0,2580.0,30.67
01,15,7,15-01-2006,2,2518.0,2464.0,29.0
01,15,7,15-01-2006,3,2479.0,2401.0,26.67
01,15,7,15-01-2006,4,2480.0,2372.0,24.33
01,15,7,15-01-2006,5,2516.0,2402.0,22.33
01,15,7,15-01-2006,6,2605.0,2505.0,21.0
01,15,7,15-01-2006,7,2768.0,2712.0,19.33
01,15,7,15-01-2006,8,3017.0,3006.0,17.0
01,15,7,15-01-2006,9,3322.0,3298.0,17.0
01,15,7,15-01-2006,10,3568.0,3528.0,16.0
01,15,7,15-01-2006,11,3753.0,3640.0,14.67
01,15,7,15-01-2006,12,3866.0,3655.0,14.33
01,15,7,15-01-2006,13,3887.0,3606.0,13.33
01,15,7,15-01-2006,14,3879.0,3551.0,12.0
01,15,7,15-01-2006,15,3842.0,3494.0,11.33
01,15,7,15-01-2006,16,3872.0,3500.0,11.33
01,15,7,15-01-2006,17,4126.0,3689.0,10.67
01,15,7,15-01-2006,18,4435.0,3870.0,9.67
01,15,7,15-01-2006,19,4384.0,3813.0,9.0
01,15,7,15-01-2006,20,4225.0,3667.0,8.33
01,15,7,15-01-2006,21,4042.0,3490.0,8.33
01,15,7,15-01-2006,22,3786.0,3284.0,8.33
01,15,7,15-01-2006,23,3486.0,3052.0,7.67
01,15,7,15-01-2006,24,3250.0,2831.0,7.0
01,16,1,16-01-2006,1,3072.0,2627.0,6.67
01,16,1,16-01-2006,2,3012.0,2518.0,6.33
01,16,1,16-01-2006,3,2991.0,2479.0,6.0
01,16,1,16-01-2006,4,3003.0,2480.0,6.0
01,16,1,16-01-2006,5,3091.0,2516.0,5.33
01,16,1,16-01-2006,6,3308.0,2605.0,5.33
01,16,1,16-01-2006,7,3700.0,2768.0,5.0
01,16,1,16-01-2006,8,3974.0,3017.0,4.67
01,16,1,16-01-2006,9,4147.0,3322.0,5.33
01,16,1,16-01-2006,10,4263.0,3568.0,7.33
01,16,1,16-01-2006,11,4302.0,3753.0,9.0
01,16,1,16-01-2006,12,4277.0,3866.0,11.0
01,16,1,16-01-2006,13,4189.0,3887.0,13.67
01,16,1,16-01-2006,14,4128.0,3879.0,17.33
01,16,1,16-01-2006,15,4064.0,3842.0,19.67
01,16,1,16-01-2006,16,4056.0,3872.0,21.0
01,16,1,16-01-2006,17,4278.0,4126.0,21.0
01,16,1,16-01-2006,18,4617.0,4435.0,19.33
01,16,1,16-01-2006,19,4586.0,4384.0,17.0
01,16,1,16-01-2006,20,4450.0,4225.0,15.33
01,16,1,16-01-2006,21,4264.0,4042.0,14.67
01,16,1,16-01-2006,22,3960.0,3786.0,14.0
01,16,1,16-01-2006,23,3586.0,3486.0,14.0
01,16,1,16-01-2006,24,3277.0,3250.0,14.33
01,17,2,17-01-2006,1,3093.0,3072.0,12.67
01,17,2,17-01-2006,2,3019.0,3012.0,14.33
01,17,2,17-01-2006,3,2993.0,2991.0,13.33
01,17,2,17-01-2006,4,2994.0,3003.0,12.67
01,17,2,17-01-2006,5,3084.0,3091.0,13.67
01,17,2,17-01-2006,6,3396.0,3308.0,13.33
01,17,2,17-01-2006,7,3937.0,3700.0,12.67
01,17,2,17-01-2006,8,4147.0,3974.0,12.33
01,17,2,17-01-2006,9,4108.0,4147.0,13.33
01,17,2,17-01-2006,10,4060.0,4263.0,16.33
01,17,2,17-01-2006,11,4012.0,4302.0,21.0
01,17,2,17-01-2006,12,3964.0,4277.0,24.67
01,17,2,17-01-2006,13,3922.0,4189.0,28.67
01,17,2,17-01-2006,14,3855.0,4128.0,30.0
01,17,2,17-01-2006,15,3788.0,4064.0,32.33
01,17,2,17-01-2006,16,3782.0,4056.0,32.67
01,17,2,17-01-2006,17,4029.0,4278.0,30.67
01,17,2,17-01-2006,18,4337.0,4617.0,29.67
01,17,2,17-01-2006,19,4326.0,4586.0,29.67
01,17,2,17-01-2006,20,4205.0,4450.0,30.0
01,17,2,17-01-2006,21,4002.0,4264.0,31.0
01,17,2,17-01-2006,22,3687.0,3960.0,33.33
01,17,2,17-01-2006,23,3299.0,3586.0,33.0
01,17,2,17-01-2006,24,2987.0,3277.0,33.67
01,18,3,18-01-2006,1,2796.0,3093.0,34.33
01,18,3,18-01-2006,2,2710.0,3019.0,34.0
01,18,3,18-01-2006,3,2656.0,2993.0,35.0
01,18,3,18-01-2006,4,2671.0,2994.0,34.67
01,18,3,18-01-2006,5,2749.0,3084.0,36.33
01,18,3,18-01-2006,6,3030.0,3396.0,36.67
01,18,3,18-01-2006,7,3528.0,3937.0,37.33
01,18,3,18-01-2006,8,3824.0,4147.0,39.33
01,18,3,18-01-2006,9,3905.0,4108.0,42.33
01,18,3,18-01-2006,10,3940.0,4060.0,45.0
01,18,3,18-01-2006,11,3979.0,4012.0,46.33
01,18,3,18-01-2006,12,3974.0,3964.0,48.0
01,18,3,18-01-2006,13,3922.0,3922.0,49.67
01,18,3,18-01-2006,14,3848.0,3855.0,50.0
01,18,3,18-01-2006,15,3797.0,3788.0,49.67
01,18,3,18-01-2006,16,3780.0,3782.0,47.0
01,18,3,18-01-2006,17,3906.0,4029.0,46.0
01,18,3,18-01-2006,18,4104.0,4337.0,43.33
01,18,3,18-01-2006,19,4062.0,4326.0,41.67
01,18,3,18-01-2006,20,3945.0,4205.0,40.33
01,18,3,18-01-2006,21,3763.0,4002.0,38.67
01,18,3,18-01-2006,22,3478.0,3687.0,38.33
01,18,3,18-01-2006,23,3126.0,3299.0,38.33
01,18,3,18-01-2006,24,2845.0,2987.0,37.33
01,19,4,19-01-2006,1,2651.0,2796.0,37.0
01,19,4,19-01-2006,2,2582.0,2710.0,36.33
01,19,4,19-01-2006,3,2570.0,2656.0,35.33
01,19,4,19-01-2006,4,2607.0,2671.0,34.67
01,19,4,19-01-2006,5,2723.0,2749.0,33.33
01,19,4,19-01-2006,6,3019.0,3030.0,33.33
01,19,4,19-01-2006,7,3582.0,3528.0,32.67
01,19,4,19-01-2006,8,3830.0,3824.0,32.33
01,19,4,19-01-2006,9,3820.0,3905.0,33.0
01,19,4,19-01-2006,10,3827.0,3940.0,34.33
01,19,4,19-01-2006,11,3827.0,3979.0,35.0
01,19,4,19-01-2006,12,3812.0,3974.0,36.0
01,19,4,19-01-2006,13,3760.0,3922.0,37.33
01,19,4,19-01-2006,14,3721.0,3848.0,37.67
01,19,4,19-01-2006,15,3673.0,3797.0,39.0
01,19,4,19-01-2006,16,3637.0,3780.0,38.67
01,19,4,19-01-2006,17,3799.0,3906.0,38.0
01,19,4,19-01-2006,18,4164.0,4104.0,36.33
01,19,4,19-01-2006,19,4215.0,4062.0,34.67
01,19,4,19-01-2006,20,4113.0,3945.0,34.0
01,19,4,19-01-2006,21,3953.0,3763.0,33.33
01,19,4,19-01-2006,22,3652.0,3478.0,32.67
01,19,4,19-01-2006,23,3253.0,3126.0,34.0
01,19,4,19-01-2006,24,2947.0,2845.0,34.33
01,20,5,20-01-2006,1,2763.0,2651.0,34.67
01,20,5,20-01-2006,2,2665.0,2582.0,34.33
01,20,5,20-01-2006,3,2624.0,2570.0,35.0
01,20,5,20-01-2006,4,2625.0,2607.0,35.33
01,20,5,20-01-2006,5,2718.0,2723.0,34.67
01,20,5,20-01-2006,6,3004.0,3019.0,34.0
01,20,5,20-01-2006,7,3551.0,3582.0,33.67
01,20,5,20-01-2006,8,3798.0,3830.0,33.33
01,20,5,20-01-2006,9,3773.0,3820.0,34.0
01,20,5,20-01-2006,10,3776.0,3827.0,37.0
01,20,5,20-01-2006,11,3760.0,3827.0,40.67
01,20,5,20-01-2006,12,3713.0,3812.0,43.33
01,20,5,20-01-2006,13,3651.0,3760.0,47.0
01,20,5,20-01-2006,14,3612.0,3721.0,50.0
01,20,5,20-01-2006,15,3559.0,3673.0,51.0
01,20,5,20-01-2006,16,3537.0,3637.0,52.67
01,20,5,20-01-2006,17,3668.0,3799.0,52.0
01,20,5,20-01-2006,18,3907.0,4164.0,49.67
01,20,5,20-01-2006,19,3861.0,4215.0,48.33
01,20,5,20-01-2006,20,3713.0,4113.0,45.33
01,20,5,20-01-2006,21,3566.0,3953.0,45.0
01,20,5,20-01-2006,22,3342.0,3652.0,44.67
01,20,5,20-01-2006,23,3042.0,3253.0,43.0
01,20,5,20-01-2006,24,2779.0,2947.0,42.0
01,21,6,21-01-2006,1,2584.0,2763.0,40.67
01,21,6,21-01-2006,2,2487.0,2665.0,40.67
01,21,6,21-01-2006,3,2430.0,2624.0,40.33
