,monthofyear,dayofmonth,weekday,Date,Hour,load,prevload,T,lasthr
123,1,6,5,06-01-2006,4,2679.0,2713.0,28.0,2663.0
124,1,6,5,06-01-2006,5,2764.0,2801.0,28.33,2679.0
125,1,6,5,06-01-2006,6,3047.0,3084.0,27.67,2764.0
126,1,6,5,06-01-2006,7,3578.0,3627.0,27.0,3047.0
127,1,6,5,06-01-2006,8,3843.0,3915.0,26.67,3578.0
128,1,6,5,06-01-2006,9,3852.0,3926.0,26.67,3843.0
129,1,6,5,06-01-2006,10,3880.0,3952.0,26.33,3852.0
130,1,6,5,06-01-2006,11,3915.0,4011.0,27.0,3880.0
131,1,6,5,06-01-2006,12,3933.0,4024.0,26.67,3915.0
132,1,6,5,06-01-2006,13,3873.0,3976.0,27.33,3933.0
133,1,6,5,06-01-2006,14,3854.0,3916.0,27.67,3873.0
134,1,6,5,06-01-2006,15,3828.0,3857.0,27.33,3854.0
135,1,6,5,06-01-2006,16,3863.0,3866.0,28.0,3828.0
136,1,6,5,06-01-2006,17,4094.0,4113.0,27.67,3863.0
137,1,6,5,06-01-2006,18,4274.0,4368.0,26.33,4094.0
138,1,6,5,06-01-2006,19,4204.0,4337.0,26.67,4274.0
139,1,6,5,06-01-2006,20,4060.0,4219.0,26.0,4204.0
140,1,6,5,06-01-2006,21,3914.0,4031.0,25.67,4060.0
141,1,6,5,06-01-2006,22,3691.0,3716.0,24.67,3914.0
142,1,6,5,06-01-2006,23,3388.0,3324.0,24.33,3691.0
143,1,6,5,06-01-2006,24,3098.0,3012.0,23.33,3388.0
144,1,7,6,07-01-2006,1,2895.0,2808.0,22.33,3098.0
145,1,7,6,07-01-2006,2,2799.0,2710.0,21.0,2895.0
146,1,7,6,07-01-2006,3,2747.0,2663.0,20.0,2799.0
147,1,7,6,07-01-2006,4,2745.0,2679.0,18.33,2747.0
148,1,7,6,07-01-2006,5,2790.0,2764.0,17.33,2745.0
149,1,7,6,07-01-2006,6,2907.0,3047.0,16.0,2790.0
150,1,7,6,07-01-2006,7,3118.0,3578.0,14.67,2907.0
151,1,7,6,07-01-2006,8,3363.0,3843.0,11.67,3118.0
152,1,7,6,07-01-2006,9,3609.0,3852.0,10.0,3363.0
153,1,7,6,07-01-2006,10,3751.0,3880.0,13.0,3609.0
154,1,7,6,07-01-2006,11,3780.0,3915.0,17.33,3751.0
155,1,7,6,07-01-2006,12,3752.0,3933.0,19.33,3780.0
156,1,7,6,07-01-2006,13,3666.0,3873.0,21.33,3752.0
157,1,7,6,07-01-2006,14,3592.0,3854.0,23.33,3666.0
158,1,7,6,07-01-2006,15,3533.0,3828.0,24.33,3592.0
159,1,7,6,07-01-2006,16,3571.0,3863.0,24.33,3533.0
160,1,7,6,07-01-2006,17,3864.0,4094.0,24.67,3571.0
161,1,7,6,07-01-2006,18,4180.0,4274.0,23.0,3864.0
162,1,7,6,07-01-2006,19,4135.0,4204.0,18.33,4180.0
163,1,7,6,07-01-2006,20,4007.0,4060.0,16.67,4135.0
164,1,7,6,07-01-2006,21,3864.0,3914.0,15.33,4007.0
165,1,7,6,07-01-2006,22,3664.0,3691.0,16.33,3864.0
166,1,7,6,07-01-2006,23,3385.0,3388.0,15.67,3664.0
167,1,7,6,07-01-2006,24,3132.0,3098.0,15.0,3385.0
168,1,8,7,08-01-2006,1,2915.0,2895.0,15.0,3132.0
169,1,8,7,08-01-2006,2,2803.0,2799.0,15.33,2915.0
170,1,8,7,08-01-2006,3,2742.0,2747.0,16.0,2803.0
171,1,8,7,08-01-2006,4,2730.0,2745.0,15.67,2742.0
172,1,8,7,08-01-2006,5,2749.0,2790.0,16.33,2730.0
173,1,8,7,08-01-2006,6,2819.0,2907.0,18.33,2749.0
174,1,8,7,08-01-2006,7,2964.0,3118.0,18.67,2819.0
175,1,8,7,08-01-2006,8,3175.0,3363.0,17.67,2964.0
176,1,8,7,08-01-2006,9,3426.0,3609.0,19.0,3175.0
177,1,8,7,08-01-2006,10,3623.0,3751.0,20.67,3426.0
178,1,8,7,08-01-2006,11,3705.0,3780.0,23.33,3623.0
179,1,8,7,08-01-2006,12,3741.0,3752.0,24.0,3705.0
180,1,8,7,08-01-2006,13,3708.0,3666.0,25.33,3741.0
181,1,8,7,08-01-2006,14,3638.0,3592.0,26.67,3708.0
182,1,8,7,08-01-2006,15,3563.0,3533.0,28.0,3638.0
183,1,8,7,08-01-2006,16,3580.0,3571.0,29.0,3563.0
184,1,8,7,08-01-2006,17,3905.0,3864.0,28.33,3580.0
185,1,8,7,08-01-2006,18,4219.0,4180.0,26.33,3905.0
186,1,8,7,08-01-2006,19,4180.0,4135.0,23.0,4219.0
187,1,8,7,08-01-2006,20,4051.0,4007.0,23.0,4180.0
188,1,8,7,08-01-2006,21,3865.0,3864.0,20.67,4051.0
189,1,8,7,08-01-2006,22,3562.0,3664.0,20.33,3865.0
190,1,8,7,08-01-2006,23,3221.0,3385.0,18.67,3562.0
191,1,8,7,08-01-2006,24,2970.0,3132.0,20.0,3221.0
192,1,9,1,09-01-2006,1,2800.0,2915.0,20.67,2970.0
193,1,9,1,09-01-2006,2,2717.0,2803.0,22.0,2800.0
194,1,9,1,09-01-2006,3,2690.0,2742.0,23.33,2717.0
195,1,9,1,09-01-2006,4,2711.0,2730.0,23.33,2690.0
196,1,9,1,09-01-2006,5,2814.0,2749.0,24.33,2711.0
197,1,9,1,09-01-2006,6,3125.0,2819.0,24.33,2814.0
198,1,9,1,09-01-2006,7,3679.0,2964.0,25.0,3125.0
199,1,9,1,09-01-2006,8,3951.0,3175.0,25.67,3679.0
200,1,9,1,09-01-2006,9,3961.0,3426.0,25.67,3951.0
201,1,9,1,09-01-2006,10,4013.0,3623.0,26.0,3961.0
202,1,9,1,09-01-2006,11,4059.0,3705.0,27.0,4013.0
203,1,9,1,09-01-2006,12,4054.0,3741.0,28.67,4059.0
204,1,9,1,09-01-2006,13,4013.0,3708.0,29.67,4054.0
205,1,9,1,09-01-2006,14,3984.0,3638.0,30.33,4013.0
206,1,9,1,09-01-2006,15,3924.0,3563.0,30.33,3984.0
207,1,9,1,09-01-2006,16,3932.0,3580.0,31.0,3924.0
208,1,9,1,09-01-2006,17,4142.0,3905.0,30.67,3932.0
209,1,9,1,09-01-2006,18,4385.0,4219.0,30.67,4142.0
210,1,9,1,09-01-2006,19,4313.0,4180.0,30.0,4385.0
211,1,9,1,09-01-2006,20,4180.0,4051.0,30.0,4313.0
212,1,9,1,09-01-2006,21,3972.0,3865.0,30.0,4180.0
213,1,9,1,09-01-2006,22,3665.0,3562.0,32.67,3972.0
214,1,9,1,09-01-2006,23,3271.0,3221.0,33.67,3665.0
215,1,9,1,09-01-2006,24,2964.0,2970.0,33.0,3271.0
216,1,10,2,10-01-2006,1,2775.0,2800.0,30.33,2964.0
217,1,10,2,10-01-2006,2,2673.0,2717.0,29.33,2775.0
218,1,10,2,10-01-2006,3,2633.0,2690.0,28.33,2673.0
219,1,10,2,10-01-2006,4,2646.0,2711.0,27.33,2633.0
220,1,10,2,10-01-2006,5,2739.0,2814.0,28.0,2646.0
221,1,10,2,10-01-2006,6,3045.0,3125.0,29.67,2739.0
222,1,10,2,10-01-2006,7,3603.0,3679.0,28.0,3045.0
223,1,10,2,10-01-2006,8,3832.0,3951.0,28.0,3603.0
224,1,10,2,10-01-2006,9,3807.0,3961.0,25.67,3832.0
225,1,10,2,10-01-2006,10,3783.0,4013.0,31.0,3807.0
226,1,10,2,10-01-2006,11,3757.0,4059.0,33.67,3783.0
227,1,10,2,10-01-2006,12,3741.0,4054.0,35.67,3757.0
228,1,10,2,10-01-2006,13,3702.0,4013.0,37.67,3741.0
229,1,10,2,10-01-2006,14,3681.0,3984.0,39.0,3702.0
230,1,10,2,10-01-2006,15,3640.0,3924.0,39.33,3681.0
231,1,10,2,10-01-2006,16,3659.0,3932.0,40.0,3640.0
232,1,10,2,10-01-2006,17,3925.0,4142.0,38.67,3659.0
233,1,10,2,10-01-2006,18,4271.0,4385.0,36.67,3925.0
234,1,10,2,10-01-2006,19,4253.0,4313.0,33.0,4271.0
235,1,10,2,10-01-2006,20,4136.0,4180.0,30.0,4253.0
236,1,10,2,10-01-2006,21,3963.0,3972.0,29.67,4136.0
237,1,10,2,10-01-2006,22,3669.0,3665.0,28.67,3963.0
238,1,10,2,10-01-2006,23,3287.0,3271.0,28.0,3669.0
239,1,10,2,10-01-2006,24,2986.0,2964.0,27.0,3287.0
240,1,11,3,11-01-2006,1,2807.0,2775.0,27.33,2986.0
241,1,11,3,11-01-2006,2,2703.0,2673.0,27.67,2807.0
242,1,11,3,11-01-2006,3,2654.0,2633.0,29.0,2703.0
243,1,11,3,11-01-2006,4,2649.0,2646.0,29.0,2654.0
244,1,11,3,11-01-2006,5,2738.0,2739.0,28.67,2649.0
245,1,11,3,11-01-2006,6,3010.0,3045.0,30.33,2738.0
246,1,11,3,11-01-2006,7,3557.0,3603.0,31.67,3010.0
247,1,11,3,11-01-2006,8,3831.0,3832.0,32.67,3557.0
248,1,11,3,11-01-2006,9,3814.0,3807.0,33.0,3831.0
249,1,11,3,11-01-2006,10,3823.0,3783.0,34.67,3814.0
250,1,11,3,11-01-2006,11,3830.0,3757.0,36.33,3823.0
251,1,11,3,11-01-2006,12,3840.0,3741.0,39.33,3830.0
252,1,11,3,11-01-2006,13,3794.0,3702.0,41.0,3840.0
253,1,11,3,11-01-2006,14,3778.0,3681.0,43.0,3794.0
254,1,11,3,11-01-2006,15,3733.0,3640.0,42.33,3778.0
255,1,11,3,11-01-2006,16,3756.0,3659.0,43.67,3733.0
256,1,11,3,11-01-2006,17,3987.0,3925.0,43.0,3756.0
257,1,11,3,11-01-2006,18,4227.0,4271.0,41.67,3987.0
258,1,11,3,11-01-2006,19,4173.0,4253.0,41.33,4227.0
259,1,11,3,11-01-2006,20,4056.0,4136.0,41.33,4173.0
260,1,11,3,11-01-2006,21,3862.0,3963.0,41.0,4056.0
261,1,11,3,11-01-2006,22,3534.0,3669.0,40.0,3862.0
262,1,11,3,11-01-2006,23,3151.0,3287.0,38.67,3534.0
263,1,11,3,11-01-2006,24,2842.0,2986.0,41.67,3151.0
264,1,12,4,12-01-2006,1,2635.0,2807.0,41.67,2842.0
265,1,12,4,12-01-2006,2,2529.0,2703.0,41.67,2635.0
266,1,12,4,12-01-2006,3,2488.0,2654.0,40.33,2529.0
267,1,12,4,12-01-2006,4,2493.0,2649.0,41.67,2488.0
268,1,12,4,12-01-2006,5,2585.0,2738.0,43.0,2493.0
269,1,12,4,12-01-2006,6,2856.0,3010.0,42.0,2585.0
270,1,12,4,12-01-2006,7,3409.0,3557.0,41.0,2856.0
271,1,12,4,12-01-2006,8,3662.0,3831.0,39.67,3409.0
272,1,12,4,12-01-2006,9,3650.0,3814.0,39.67,3662.0
273,1,12,4,12-01-2006,10,3673.0,3823.0,41.33,3650.0
274,1,12,4,12-01-2006,11,3686.0,3830.0,43.0,3673.0
275,1,12,4,12-01-2006,12,3673.0,3840.0,44.33,3686.0
276,1,12,4,12-01-2006,13,3629.0,3794.0,45.33,3673.0
277,1,12,4,12-01-2006,14,3597.0,3778.0,46.0,3629.0
278,1,12,4,12-01-2006,15,3552.0,3733.0,46.0,3597.0
279,1,12,4,12-01-2006,16,3564.0,3756.0,46.67,3552.0
280,1,12,4,12-01-2006,17,3815.0,3987.0,45.33,3564.0
281,1,12,4,12-01-2006,18,4146.0,4227.0,43.33,3815.0
282,1,12,4,12-01-2006,19,4154.0,4173.0,40.67,4146.0
283,1,12,4,12-01-2006,20,4055.0,4056.0,38.0,4154.0
284,1,12,4,12-01-2006,21,3884.0,3862.0,35.33,4055.0
285,1,12,4,12-01-2006,22,3594.0,3534.0,34.0,3884.0
286,1,12,4,12-01-2006,23,3211.0,3151.0,31.33,3594.0
287,1,12,4,12-01-2006,24,2845.0,2842.0,31.0,3211.0
288,1,13,5,13-01-2006,1,2658.0,2635.0,29.67,2845.0
289,1,13,5,13-01-2006,2,2583.0,2529.0,29.33,2658.0
290,1,13,5,13-01-2006,3,2543.0,2488.0,32.0,2583.0
291,1,13,5,13-01-2006,4,2569.0,2493.0,31.33,2543.0
292,1,13,5,13-01-2006,5,2655.0,2585.0,31.0,2569.0
293,1,13,5,13-01-2006,6,2995.0,2856.0,31.33,2655.0
294,1,13,5,13-01-2006,7,3549.0,3409.0,29.0,2995.0
295,1,13,5,13-01-2006,8,3806.0,3662.0,30.0,3549.0
296,1,13,5,13-01-2006,9,3788.0,3650.0,28.67,3806.0
297,1,13,5,13-01-2006,10,3737.0,3673.0,34.0,3788.0
298,1,13,5,13-01-2006,11,3732.0,3686.0,38.33,3737.0
299,1,13,5,13-01-2006,12,3712.0,3673.0,41.33,3732.0
300,1,13,5,13-01-2006,13,3644.0,3629.0,44.33,3712.0
301,1,13,5,13-01-2006,14,3610.0,3597.0,45.67,3644.0
302,1,13,5,13-01-2006,15,3553.0,3552.0,46.33,3610.0
303,1,13,5,13-01-2006,16,3554.0,3564.0,47.33,3553.0
304,1,13,5,13-01-2006,17,3764.0,3815.0,47.0,3554.0
305,1,13,5,13-01-2006,18,4015.0,4146.0,46.0,3764.0
306,1,13,5,13-01-2006,19,3959.0,4154.0,46.0,4015.0
307,1,13,5,13-01-2006,20,3803.0,4055.0,46.67,3959.0
308,1,13,5,13-01-2006,21,3646.0,3884.0,46.67,3803.0
309,1,13,5,13-01-2006,22,3403.0,3594.0,44.67,3646.0
310,1,13,5,13-01-2006,23,3093.0,3211.0,45.0,3403.0
311,1,13,5,13-01-2006,24,2800.0,2845.0,44.67,3093.0
312,1,14,6,14-01-2006,1,2580.0,2658.0,44.67,2800.0
313,1,14,6,14-01-2006,2,2464.0,2583.0,45.67,2580.0
314,1,14,6,14-01-2006,3,2401.0,2543.0,44.0,2464.0
315,1,14,6,14-01-2006,4,2372.0,2569.0,43.67,2401.0
316,1,14,6,14-01-2006,5,2402.0,2655.0,45.67,2372.0
317,1,14,6,14-01-2006,6,2505.0,2995.0,43.67,2402.0
318,1,14,6,14-01-2006,7,2712.0,3549.0,43.67,2505.0
319,1,14,6,14-01-2006,8,3006.0,3806.0,44.67,2712.0
320,1,14,6,14-01-2006,9,3298.0,3788.0,44.67,3006.0
321,1,14,6,14-01-2006,10,3528.0,3737.0,49.33,3298.0
322,1,14,6,14-01-2006,11,3640.0,3732.0,52.33,3528.0
323,1,14,6,14-01-2006,12,3655.0,3712.0,53.0,3640.0
324,1,14,6,14-01-2006,13,3606.0,3644.0,53.0,3655.0
325,1,14,6,14-01-2006,14,3551.0,3610.0,51.67,3606.0
326,1,14,6,14-01-2006,15,3494.0,3553.0,48.0,3551.0
327,1,14,6,14-01-2006,16,3500.0,3554.0,47.67,3494.0
328,1,14,6,14-01-2006,17,3689.0,3764.0,45.33,3500.0
329,1,14,6,14-01-2006,18,3870.0,4015.0,42.0,3689.0
330,1,14,6,14-01-2006,19,3813.0,3959.0,41.33,3870.0
331,1,14,6,14-01-2006,20,3667.0,3803.0,40.33,3813.0
332,1,14,6,14-01-2006,21,3490.0,3646.0,39.67,3667.0
333,1,14,6,14-01-2006,22,3284.0,3403.0,35.0,3490.0
334,1,14,6,14-01-2006,23,3052.0,3093.0,34.67,3284.0
335,1,14,6,14-01-2006,24,2831.0,2800.0,32.0,3052.0
336,1,15,7,15-01-2006,1,2627.0,2580.0,30.67,2831.0
337,1,15,7,15-01-2006,2,2518.0,2464.0,29.0,2627.0
338,1,15,7,15-01-2006,3,2479.0,2401.0,26.67,2518.0
339,1,15,7,15-01-2006,4,2480.0,2372.0,24.33,2479.0
340,1,15,7,15-01-2006,5,2516.0,2402.0,22.33,2480.0
341,1,15,7,15-01-2006,6,2605.0,2505.0,21.0,2516.0
342,1,15,7,15-01-2006,7,2768.0,2712.0,19.33,2605.0
343,1,15,7,15-01-2006,8,3017.0,3006.0,17.0,2768.0
344,1,15,7,15-01-2006,9,3322.0,3298.0,17.0,3017.0
345,1,15,7,15-01-2006,10,3568.0,3528.0,16.0,3322.0
346,1,15,7,15-01-2006,11,3753.0,3640.0,14.67,3568.0
347,1,15,7,15-01-2006,12,3866.0,3655.0,14.33,3753.0
348,1,15,7,15-01-2006,13,3887.0,3606.0,13.33,3866.0
349,1,15,7,15-01-2006,14,3879.0,3551.0,12.0,3887.0
350,1,15,7,15-01-2006,15,3842.0,3494.0,11.33,3879.0
351,1,15,7,15-01-2006,16,3872.0,3500.0,11.33,3842.0
352,1,15,7,15-01-2006,17,4126.0,3689.0,10.67,3872.0
353,1,15,7,15-01-2006,18,4435.0,3870.0,9.67,4126.0
354,1,15,7,15-01-2006,19,4384.0,3813.0,9.0,4435.0
355,1,15,7,15-01-2006,20,4225.0,3667.0,8.33,4384.0
356,1,15,7,15-01-2006,21,4042.0,3490.0,8.33,4225.0
357,1,15,7,15-01-2006,22,3786.0,3284.0,8.33,4042.0
358,1,15,7,15-01-2006,23,3486.0,3052.0,7.67,3786.0
359,1,15,7,15-01-2006,24,3250.0,2831.0,7.0,3486.0
360,1,16,1,16-01-2006,1,3072.0,2627.0,6.67,3250.0
361,1,16,1,16-01-2006,2,3012.0,2518.0,6.33,3072.0
362,1,16,1,16-01-2006,3,2991.0,2479.0,6.0,3012.0
363,1,16,1,16-01-2006,4,3003.0,2480.0,6.0,2991.0
364,1,16,1,16-01-2006,5,3091.0,2516.0,5.33,3003.0
365,1,16,1,16-01-2006,6,3308.0,2605.0,5.33,3091.0
366,1,16,1,16-01-2006,7,3700.0,2768.0,5.0,3308.0
367,1,16,1,16-01-2006,8,3974.0,3017.0,4.67,3700.0
368,1,16,1,16-01-2006,9,4147.0,3322.0,5.33,3974.0
369,1,16,1,16-01-2006,10,4263.0,3568.0,7.33,4147.0
370,1,16,1,16-01-2006,11,4302.0,3753.0,9.0,4263.0
371,1,16,1,16-01-2006,12,4277.0,3866.0,11.0,4302.0
372,1,16,1,16-01-2006,13,4189.0,3887.0,13.67,4277.0
373,1,16,1,16-01-2006,14,4128.0,3879.0,17.33,4189.0
374,1,16,1,16-01-2006,15,4064.0,3842.0,19.67,4128.0
375,1,16,1,16-01-2006,16,4056.0,3872.0,21.0,4064.0
376,1,16,1,16-01-2006,17,4278.0,4126.0,21.0,4056.0
377,1,16,1,16-01-2006,18,4617.0,4435.0,19.33,4278.0
378,1,16,1,16-01-2006,19,4586.0,4384.0,17.0,4617.0
379,1,16,1,16-01-2006,20,4450.0,4225.0,15.33,4586.0
380,1,16,1,16-01-2006,21,4264.0,4042.0,14.67,4450.0
381,1,16,1,16-01-2006,22,3960.0,3786.0,14.0,4264.0
382,1,16,1,16-01-2006,23,3586.0,3486.0,14.0,3960.0
383,1,16,1,16-01-2006,24,3277.0,3250.0,14.33,3586.0
384,1,17,2,17-01-2006,1,3093.0,3072.0,12.67,3277.0
385,1,17,2,17-01-2006,2,3019.0,3012.0,14.33,3093.0
386,1,17,2,17-01-2006,3,2993.0,2991.0,13.33,3019.0
387,1,17,2,17-01-2006,4,2994.0,3003.0,12.67,2993.0
388,1,17,2,17-01-2006,5,3084.0,3091.0,13.67,2994.0
389,1,17,2,17-01-2006,6,3396.0,3308.0,13.33,3084.0
390,1,17,2,17-01-2006,7,3937.0,3700.0,12.67,3396.0
391,1,17,2,17-01-2006,8,4147.0,3974.0,12.33,3937.0
392,1,17,2,17-01-2006,9,4108.0,4147.0,13.33,4147.0
393,1,17,2,17-01-2006,10,4060.0,4263.0,16.33,4108.0
394,1,17,2,17-01-2006,11,4012.0,4302.0,21.0,4060.0
395,1,17,2,17-01-2006,12,3964.0,4277.0,24.67,4012.0
396,1,17,2,17-01-2006,13,3922.0,4189.0,28.67,3964.0
397,1,17,2,17-01-2006,14,3855.0,4128.0,30.0,3922.0
398,1,17,2,17-01-2006,15,3788.0,4064.0,32.33,3855.0
399,1,17,2,17-01-2006,16,3782.0,4056.0,32.67,3788.0
400,1,17,2,17-01-2006,17,4029.0,4278.0,30.67,3782.0
401,1,17,2,17-01-2006,18,4337.0,4617.0,29.67,4029.0
402,1,17,2,17-01-2006,19,4326.0,4586.0,29.67,4337.0
403,1,17,2,17-01-2006,20,4205.0,4450.0,30.0,4326.0
404,1,17,2,17-01-2006,21,4002.0,4264.0,31.0,4205.0
405,1,17,2,17-01-2006,22,3687.0,3960.0,33.33,4002.0
406,1,17,2,17-01-2006,23,3299.0,3586.0,33.0,3687.0
407,1,17,2,17-01-2006,24,2987.0,3277.0,33.67,3299.0
408,1,18,3,18-01-2006,1,2796.0,3093.0,34.33,2987.0
409,1,18,3,18-01-2006,2,2710.0,3019.0,34.0,2796.0
410,1,18,3,18-01-2006,3,2656.0,2993.0,35.0,2710.0
