monthofyear,weekday,Date,Hour,load,prevload,temp,humid,windspd
1,1,04/01/2010,10,3774.0,3537.0,24.0,65.0,11.1
1,1,04/01/2010,11,3805.0,3617.0,26.0,57.0,5.6
1,1,04/01/2010,12,3831.0,3680.0,27.67,49.0,8.67
1,1,04/01/2010,13,3817.0,3709.0,29.0,49.5,13.0
1,1,04/01/2010,14,3799.0,3682.0,29.0,53.0,20.35
1,1,04/01/2010,15,3768.0,3650.0,28.67,53.67,14.8
1,1,04/01/2010,16,3803.0,3707.0,28.0,58.0,14.8
1,1,04/01/2010,17,4047.0,4024.0,27.5,58.0,18.5
1,1,04/01/2010,18,4328.0,4226.0,26.67,55.67,15.43
1,1,04/01/2010,19,4327.0,4132.0,25.5,65.0,13.0
1,1,04/01/2010,20,4193.0,3976.0,25.0,69.0,14.8
1,1,04/01/2010,21,4003.0,3748.0,24.33,71.0,11.73
1,1,04/01/2010,22,3719.0,3462.0,24.0,75.5,13.0
1,1,04/01/2010,23,3367.0,3144.0,23.5,80.5,12.05
1,1,04/01/2010,24,3079.0,2904.0,23.0,79.67,4.33
1,2,05/01/2010,1,2884.0,2747.0,23.0,78.0,5.6
1,2,05/01/2010,2,2799.0,2643.0,23.0,78.0,2.8
1,2,05/01/2010,3,2762.0,2609.0,21.67,82.33,2.47
1,2,05/01/2010,4,2762.0,2653.0,22.0,78.0,0.0
1,2,05/01/2010,5,2858.0,2762.0,21.5,85.5,0.0
1,2,05/01/2010,6,3149.0,3060.0,20.33,87.67,0.0
1,2,05/01/2010,7,3640.0,3538.0,21.0,83.0,3.7
1,2,05/01/2010,8,3851.0,3733.0,21.0,83.0,0.0
1,2,05/01/2010,9,3841.0,3768.0,20.5,82.5,0.0
1,2,05/01/2010,10,3854.0,3774.0,23.0,78.0,0.0
1,2,05/01/2010,11,3875.0,3805.0,26.5,55.5,5.6
1,2,05/01/2010,12,3887.0,3831.0,27.5,47.5,2.8
1,2,05/01/2010,13,3875.0,3817.0,29.0,48.0,5.6
1,2,05/01/2010,14,3861.0,3799.0,29.0,55.0,12.95
1,2,05/01/2010,15,3838.0,3768.0,30.0,43.0,11.1
1,2,05/01/2010,16,3825.0,3803.0,29.0,53.0,16.7
1,2,05/01/2010,17,4069.0,4047.0,29.0,56.5,13.9
1,2,05/01/2010,18,4323.0,4328.0,28.0,53.33,13.0
1,2,05/01/2010,19,4316.0,4327.0,27.0,61.0,13.0
1,2,05/01/2010,20,4191.0,4193.0,26.0,67.0,11.1
1,2,05/01/2010,21,4004.0,4003.0,25.0,73.67,5.57
1,2,05/01/2010,22,3730.0,3719.0,25.0,74.0,6.5
1,2,05/01/2010,23,3372.0,3367.0,25.0,74.0,0.0
1,2,05/01/2010,24,3090.0,3079.0,23.33,76.0,0.0
1,3,06/01/2010,1,2907.0,2884.0,24.0,78.0,0.0
1,3,06/01/2010,2,2818.0,2799.0,23.0,78.0,0.0
1,3,06/01/2010,3,2778.0,2762.0,22.0,80.67,0.0
1,3,06/01/2010,4,2774.0,2762.0,23.0,78.0,0.0
1,3,06/01/2010,5,2862.0,2858.0,24.0,65.0,5.6
1,3,06/01/2010,6,3150.0,3149.0,22.33,67.67,6.17
1,3,06/01/2010,7,3658.0,3640.0,23.0,69.0,10.2
1,3,06/01/2010,8,3874.0,3851.0,24.0,61.0,14.8
1,3,06/01/2010,9,3853.0,3841.0,24.33,57.0,10.53
1,3,06/01/2010,10,3849.0,3854.0,25.5,55.5,12.95
1,3,06/01/2010,11,3849.0,3875.0,28.0,48.0,11.1
1,3,06/01/2010,12,3848.0,3887.0,29.0,40.0,7.45
1,3,06/01/2010,13,3821.0,3875.0,30.5,40.5,9.25
1,3,06/01/2010,14,3798.0,3861.0,32.0,36.0,10.2
1,3,06/01/2010,15,3766.0,3838.0,32.33,31.33,4.97
1,3,06/01/2010,16,3806.0,3825.0,31.0,47.5,16.65
1,3,06/01/2010,17,4073.0,4069.0,30.0,51.0,12.05
1,3,06/01/2010,18,4313.0,4323.0,29.0,53.0,9.9
1,3,06/01/2010,19,4305.0,4316.0,27.0,65.0,7.4
1,3,06/01/2010,20,4198.0,4191.0,27.0,61.0,7.4
1,3,06/01/2010,21,4020.0,4004.0,26.33,58.0,1.87
1,3,06/01/2010,22,3737.0,3730.0,26.5,59.5,4.65
1,3,06/01/2010,23,3377.0,3372.0,26.0,59.0,2.8
1,3,06/01/2010,24,3100.0,3090.0,25.0,62.33,5.57
1,4,07/01/2010,1,2921.0,2907.0,26.0,54.0,11.1
1,4,07/01/2010,2,2824.0,2818.0,26.0,51.0,8.35
1,4,07/01/2010,3,2795.0,2778.0,25.0,50.33,8.03
1,4,07/01/2010,4,2802.0,2774.0,25.0,54.0,12.05
1,4,07/01/2010,5,2910.0,2862.0,25.0,50.0,12.95
1,4,07/01/2010,6,3193.0,3150.0,24.0,49.0,11.73
1,4,07/01/2010,7,3684.0,3658.0,24.0,50.0,13.9
1,4,07/01/2010,8,3901.0,3874.0,24.0,50.0,13.0
1,4,07/01/2010,9,3889.0,3853.0,24.33,46.67,7.43
1,4,07/01/2010,10,3887.0,3849.0,27.0,45.0,11.1
1,4,07/01/2010,11,3881.0,3849.0,27.5,43.5,14.8
1,4,07/01/2010,12,3859.0,3848.0,29.67,35.0,15.43
1,4,07/01/2010,13,3795.0,3821.0,31.5,30.0,20.35
1,4,07/01/2010,14,3767.0,3798.0,32.0,27.0,20.4
1,4,07/01/2010,15,3713.0,3766.0,32.67,23.33,11.13
1,4,07/01/2010,16,3734.0,3806.0,32.5,26.5,13.9
1,4,07/01/2010,17,4002.0,4073.0,30.5,39.0,8.35
1,4,07/01/2010,18,4278.0,4313.0,28.67,52.67,10.5
1,4,07/01/2010,19,4266.0,4305.0,28.0,54.0,7.4
1,4,07/01/2010,20,4149.0,4198.0,27.0,59.5,9.3
1,4,07/01/2010,21,3989.0,4020.0,26.67,57.33,7.43
1,4,07/01/2010,22,3717.0,3737.0,27.0,58.0,11.1
1,4,07/01/2010,23,3383.0,3377.0,26.0,59.0,7.4
1,4,07/01/2010,24,3105.0,3100.0,25.33,60.67,6.8
1,5,08/01/2010,1,2923.0,2921.0,26.0,57.0,4.65
1,5,08/01/2010,2,2833.0,2824.0,25.0,61.0,9.25
1,5,08/01/2010,3,2789.0,2795.0,24.0,59.5,4.65
1,5,08/01/2010,4,2795.0,2802.0,25.0,54.0,6.5
1,5,08/01/2010,5,2898.0,2910.0,25.0,54.0,5.6
1,5,08/01/2010,6,3182.0,3193.0,24.0,55.33,3.73
1,5,08/01/2010,7,3677.0,3684.0,23.5,53.5,5.6
1,5,08/01/2010,8,3914.0,3901.0,23.5,57.0,5.6
1,5,08/01/2010,9,3928.0,3889.0,24.33,48.0,5.57
1,5,08/01/2010,10,3966.0,3887.0,26.0,44.0,11.1
1,5,08/01/2010,11,3994.0,3881.0,28.0,37.0,13.0
1,5,08/01/2010,12,3971.0,3859.0,29.67,30.33,12.97
1,5,08/01/2010,13,3921.0,3795.0,30.5,30.0,12.95
1,5,08/01/2010,14,3889.0,3767.0,31.0,27.0,9.3
1,5,08/01/2010,15,3841.0,3713.0,32.0,27.67,6.8
1,5,08/01/2010,16,3846.0,3734.0,30.5,36.0,16.65
1,5,08/01/2010,17,4069.0,4002.0,29.5,42.5,19.45
1,5,08/01/2010,18,4249.0,4278.0,28.0,47.5,12.05
1,5,08/01/2010,19,4183.0,4266.0,27.0,52.5,9.3
1,5,08/01/2010,20,4062.0,4149.0,27.0,51.0,10.2
1,5,08/01/2010,21,3896.0,3989.0,25.5,49.0,6.5
1,5,08/01/2010,22,3687.0,3717.0,26.0,47.0,7.4
1,5,08/01/2010,23,3398.0,3383.0,25.0,54.0,5.6
1,5,08/01/2010,24,3128.0,3105.0,24.0,56.67,2.47
1,6,09/01/2010,1,2924.0,2923.0,25.0,55.5,6.5
1,6,09/01/2010,2,2823.0,2833.0,24.0,59.0,2.8
1,6,09/01/2010,3,2776.0,2789.0,22.67,65.33,2.47
1,6,09/01/2010,4,2761.0,2795.0,23.5,61.0,7.45
1,6,09/01/2010,5,2800.0,2898.0,23.5,59.0,3.7
1,6,09/01/2010,6,2916.0,3182.0,21.33,68.0,0.0
1,6,09/01/2010,7,3139.0,3677.0,23.0,63.0,7.45
1,6,09/01/2010,8,3370.0,3914.0,22.5,60.5,8.35
1,6,09/01/2010,9,3598.0,3928.0,23.67,49.0,7.4
1,6,09/01/2010,10,3752.0,3966.0,25.5,41.5,15.75
1,6,09/01/2010,11,3789.0,3994.0,27.0,37.0,16.7
1,6,09/01/2010,12,3765.0,3971.0,29.0,30.5,12.05
1,6,09/01/2010,13,3699.0,3921.0,30.0,33.0,12.95
1,6,09/01/2010,14,3634.0,3889.0,31.0,31.0,12.05
1,6,09/01/2010,15,3591.0,3841.0,31.0,31.0,11.1
1,6,09/01/2010,16,3633.0,3846.0,32.0,29.0,9.3
1,6,09/01/2010,17,3899.0,4069.0,31.5,30.0,9.25
1,6,09/01/2010,18,4182.0,4249.0,30.33,31.33,10.53
1,6,09/01/2010,19,4139.0,4183.0,28.5,45.0,12.05
1,6,09/01/2010,20,4017.0,4062.0,27.0,54.0,7.4
1,6,09/01/2010,21,3884.0,3896.0,26.67,49.0,7.4
1,6,09/01/2010,22,3702.0,3687.0,26.5,55.5,6.5
1,6,09/01/2010,23,3449.0,3398.0,26.0,55.5,7.45
1,6,09/01/2010,24,3206.0,3128.0,25.0,55.33,3.73
1,7,10/01/2010,1,3035.0,2924.0,25.0,55.5,2.8
1,7,10/01/2010,2,2944.0,2823.0,24.5,55.5,2.8
1,7,10/01/2010,3,2890.0,2776.0,22.67,62.0,4.93
1,7,10/01/2010,4,2879.0,2761.0,24.5,48.5,7.45
1,7,10/01/2010,5,2904.0,2800.0,24.0,50.0,3.7
1,7,10/01/2010,6,2993.0,2916.0,21.0,65.5,2.8
1,7,10/01/2010,7,3166.0,3139.0,23.5,52.0,6.5
1,7,10/01/2010,8,3367.0,3370.0,24.0,51.5,8.35
1,7,10/01/2010,9,3610.0,3598.0,23.67,47.67,5.57
1,7,10/01/2010,10,3761.0,3752.0,26.0,42.0,13.0
1,7,10/01/2010,11,3807.0,3789.0,27.0,42.0,13.0
1,7,10/01/2010,12,3815.0,3765.0,29.0,32.0,9.25
1,7,10/01/2010,13,3786.0,3699.0,30.5,33.0,13.0
1,7,10/01/2010,14,3727.0,3634.0,32.0,31.0,6.5
1,7,10/01/2010,15,3670.0,3591.0,32.33,29.0,6.83
1,7,10/01/2010,16,3685.0,3633.0,32.0,34.5,8.35
1,7,10/01/2010,17,3982.0,3899.0,31.0,39.0,12.95
1,7,10/01/2010,18,4258.0,4182.0,30.0,41.67,7.43
1,7,10/01/2010,19,4206.0,4139.0,29.0,46.5,8.35
1,7,10/01/2010,20,4070.0,4017.0,29.0,45.0,9.3
1,7,10/01/2010,21,3878.0,3884.0,27.67,48.33,9.3
1,7,10/01/2010,22,3596.0,3702.0,27.0,51.0,2.8
1,7,10/01/2010,23,3282.0,3449.0,28.0,45.0,2.8
1,7,10/01/2010,24,3049.0,3206.0,25.67,55.67,3.73
1,1,11/01/2010,1,2907.0,3035.0,27.0,51.0,13.0
1,1,11/01/2010,2,2834.0,2944.0,25.5,61.0,7.45
1,1,11/01/2010,3,2813.0,2890.0,24.0,66.67,0.0
1,1,11/01/2010,4,2820.0,2879.0,25.0,65.0,2.8
1,1,11/01/2010,5,2934.0,2904.0,24.5,63.0,0.0
1,1,11/01/2010,6,3242.0,2993.0,22.5,70.5,0.0
1,1,11/01/2010,7,3769.0,3166.0,25.0,59.0,2.8
1,1,11/01/2010,8,3968.0,3367.0,25.0,57.0,2.8
1,1,11/01/2010,9,3966.0,3610.0,23.5,61.5,2.8
1,1,11/01/2010,10,3957.0,3761.0,27.5,46.5,7.4
1,1,11/01/2010,11,3982.0,3807.0,29.0,45.0,9.3
1,1,11/01/2010,12,3971.0,3815.0,30.67,38.33,8.63
1,1,11/01/2010,13,3931.0,3786.0,31.0,43.0,12.95
1,1,11/01/2010,14,3894.0,3727.0,31.0,44.5,8.35
1,1,11/01/2010,15,3833.0,3670.0,31.0,48.67,11.13
1,1,11/01/2010,16,3843.0,3685.0,31.0,50.5,10.2
1,1,11/01/2010,17,4084.0,3982.0,31.0,49.0,16.7
1,1,11/01/2010,18,4331.0,4258.0,29.5,49.0,8.35
1,1,11/01/2010,19,4310.0,4206.0,28.0,62.0,10.2
1,1,11/01/2010,20,4182.0,4070.0,28.0,64.0,9.25
1,1,11/01/2010,21,3979.0,3878.0,26.67,69.67,8.03
1,1,11/01/2010,22,3678.0,3596.0,27.0,70.0,7.45
1,1,11/01/2010,23,3335.0,3282.0,26.5,65.0,0.0
1,1,11/01/2010,24,3058.0,3049.0,25.67,68.67,4.33
1,2,12/01/2010,1,2890.0,2907.0,26.0,71.5,2.8
1,2,12/01/2010,2,2803.0,2834.0,26.0,74.0,0.0
1,2,12/01/2010,3,2765.0,2813.0,25.67,77.67,1.87
1,2,12/01/2010,4,2775.0,2820.0,26.0,80.5,5.6
1,2,12/01/2010,5,2863.0,2934.0,25.0,89.0,7.4
1,2,12/01/2010,6,3156.0,3242.0,25.0,79.0,5.6
1,2,12/01/2010,7,3672.0,3769.0,25.0,83.0,7.45
1,2,12/01/2010,8,3886.0,3968.0,25.0,78.0,7.4
1,2,12/01/2010,9,3880.0,3966.0,25.33,79.0,4.97
1,2,12/01/2010,10,3896.0,3957.0,27.0,74.0,7.4
1,2,12/01/2010,11,3925.0,3982.0,27.5,64.0,2.8
1,2,12/01/2010,12,3905.0,3971.0,29.0,49.33,6.8
1,2,12/01/2010,13,3880.0,3931.0,29.5,48.0,14.8
1,2,12/01/2010,14,3866.0,3894.0,28.0,58.0,17.6
1,2,12/01/2010,15,3843.0,3833.0,28.33,60.0,15.43
1,2,12/01/2010,16,3861.0,3843.0,28.0,64.0,18.5
1,2,12/01/2010,17,4099.0,4084.0,27.0,65.0,22.2
1,2,12/01/2010,18,4385.0,4331.0,27.0,62.33,15.43
1,2,12/01/2010,19,4397.0,4310.0,26.0,69.0,18.5
1,2,12/01/2010,20,4282.0,4182.0,26.0,69.0,13.0
1,2,12/01/2010,21,4098.0,3979.0,26.0,62.33,8.07
1,2,12/01/2010,22,3823.0,3678.0,26.0,65.0,10.2
1,2,12/01/2010,23,3495.0,3335.0,25.0,69.0,8.35
1,2,12/01/2010,24,3229.0,3058.0,24.67,68.33,1.87
1,3,13/01/2010,1,3068.0,2890.0,25.0,74.0,8.35
1,3,13/01/2010,2,2988.0,2803.0,24.5,69.0,7.45
1,3,13/01/2010,3,2951.0,2765.0,24.0,69.33,4.93
1,3,13/01/2010,4,2960.0,2775.0,24.0,73.0,9.3
1,3,13/01/2010,5,3062.0,2863.0,23.0,78.0,7.4
1,3,13/01/2010,6,3363.0,3156.0,22.67,69.0,7.43
1,3,13/01/2010,7,3897.0,3672.0,22.0,69.0,5.6
1,3,13/01/2010,8,4118.0,3886.0,22.5,69.0,6.5
1,3,13/01/2010,9,4102.0,3880.0,21.5,57.5,4.65
1,3,13/01/2010,10,4087.0,3896.0,24.0,42.5,13.0
1,3,13/01/2010,11,4092.0,3925.0,26.0,34.0,14.8
1,3,13/01/2010,12,4072.0,3905.0,26.67,31.33,11.13
1,3,13/01/2010,13,4012.0,3880.0,27.5,32.0,13.0
1,3,13/01/2010,14,3979.0,3866.0,28.5,27.5,15.75
1,3,13/01/2010,15,3941.0,3843.0,28.33,28.67,16.07
1,3,13/01/2010,16,3947.0,3861.0,28.0,35.0,18.55
1,3,13/01/2010,17,4179.0,4099.0,27.5,34.5,16.65
1,3,13/01/2010,18,4435.0,4385.0,26.67,31.33,14.2
1,3,13/01/2010,19,4396.0,4397.0,25.5,37.5,17.6
1,3,13/01/2010,20,4277.0,4282.0,24.0,36.0,14.8
1,3,13/01/2010,21,4074.0,4098.0,23.67,35.33,13.6
1,3,13/01/2010,22,3778.0,3823.0,23.0,41.0,13.9
1,3,13/01/2010,23,3426.0,3495.0,22.0,43.0,9.3
1,3,13/01/2010,24,3148.0,3229.0,21.67,45.67,8.03
1,4,14/01/2010,1,2992.0,3068.0,21.0,49.0,8.35
1,4,14/01/2010,2,2918.0,2988.0,21.0,47.5,2.8
1,4,14/01/2010,3,2889.0,2951.0,20.0,51.0,3.73
1,4,14/01/2010,4,2905.0,2960.0,21.5,44.5,8.35
1,4,14/01/2010,5,3002.0,3062.0,20.0,49.0,0.0
1,4,14/01/2010,6,3301.0,3363.0,18.67,49.33,0.0
1,4,14/01/2010,7,3835.0,3897.0,20.0,46.0,6.5
1,4,14/01/2010,8,4062.0,4118.0,20.0,46.0,5.6
1,4,14/01/2010,9,4036.0,4102.0,18.67,52.33,0.0
1,4,14/01/2010,10,4008.0,4087.0,23.0,36.0,13.0
1,4,14/01/2010,11,3977.0,4092.0,24.5,35.0,11.1
1,4,14/01/2010,12,3933.0,4072.0,26.67,28.0,9.27
1,4,14/01/2010,13,3863.0,4012.0,28.5,29.5,8.35
1,4,14/01/2010,14,3791.0,3979.0,29.5,29.5,10.2
1,4,14/01/2010,15,3731.0,3941.0,29.33,35.67,14.83
1,4,14/01/2010,16,3730.0,3947.0,30.0,38.5,13.0
1,4,14/01/2010,17,3944.0,4179.0,30.0,41.5,11.1
1,4,14/01/2010,18,4227.0,4435.0,28.33,42.33,12.97
1,4,14/01/2010,19,4204.0,4396.0,27.0,48.0,13.9
1,4,14/01/2010,20,4098.0,4277.0,26.0,51.0,9.3
1,4,14/01/2010,21,3919.0,4074.0,25.33,49.67,10.5
1,4,14/01/2010,22,3615.0,3778.0,25.0,54.0,7.4
1,4,14/01/2010,23,3244.0,3426.0,25.0,54.0,6.5
1,4,14/01/2010,24,2985.0,3148.0,23.33,59.0,6.2
1,5,15/01/2010,1,2803.0,2992.0,24.0,57.0,6.5
1,5,15/01/2010,2,2694.0,2918.0,23.0,61.0,7.45
1,5,15/01/2010,3,2635.0,2889.0,22.33,61.67,0.0
1,5,15/01/2010,4,2641.0,2905.0,24.0,53.0,0.0
1,5,15/01/2010,5,2735.0,3002.0,25.0,45.5,8.35
1,5,15/01/2010,6,3007.0,3301.0,23.0,53.5,0.95
1,5,15/01/2010,7,3505.0,3835.0,24.0,53.0,5.6
1,5,15/01/2010,8,3757.0,4062.0,25.0,44.0,13.9
1,5,15/01/2010,9,3771.0,4036.0,24.67,42.0,12.37
1,5,15/01/2010,10,3781.0,4008.0,26.5,43.0,14.85
1,5,15/01/2010,11,3781.0,3977.0,28.0,42.0,9.3
1,5,15/01/2010,12,3771.0,3933.0,30.5,34.5,10.2
1,5,15/01/2010,13,3711.0,3863.0,31.0,40.0,9.25
1,5,15/01/2010,14,3677.0,3791.0,31.0,43.0,9.25
1,5,15/01/2010,15,3627.0,3731.0,32.0,39.33,7.4
1,5,15/01/2010,16,3631.0,3730.0,32.0,40.0,11.1
1,5,15/01/2010,17,3829.0,3944.0,31.0,49.0,13.9
1,5,15/01/2010,18,3999.0,4227.0,29.67,45.67,11.77
1,5,15/01/2010,19,3924.0,4204.0,29.5,46.5,14.8
1,5,15/01/2010,20,3800.0,4098.0,28.5,51.0,9.3
1,5,15/01/2010,21,3645.0,3919.0,27.67,52.67,5.57
1,5,15/01/2010,22,3425.0,3615.0,28.0,54.0,7.4
1,5,15/01/2010,23,3145.0,3244.0,27.0,54.0,7.45
1,5,15/01/2010,24,2883.0,2985.0,25.5,59.5,3.7
1,6,16/01/2010,1,2696.0,2803.0,26.5,55.5,4.65
1,6,16/01/2010,2,2587.0,2694.0,27.0,54.0,11.1
1,6,16/01/2010,3,2531.0,2635.0,25.33,60.0,6.2
1,6,16/01/2010,4,2518.0,2641.0,26.0,57.0,9.25
1,6,16/01/2010,5,2561.0,2735.0,26.0,57.0,10.2
1,6,16/01/2010,6,2668.0,3007.0,25.67,56.0,11.73
1,6,16/01/2010,7,2876.0,3505.0,26.0,57.0,16.65
1,6,16/01/2010,8,3122.0,3757.0,25.0,61.0,16.7
1,6,16/01/2010,9,3336.0,3771.0,25.67,55.0,12.97
1,6,16/01/2010,10,3473.0,3781.0,27.0,54.0,14.8
1,6,16/01/2010,11,3510.0,3781.0,29.0,49.5,13.9
1,6,16/01/2010,12,3481.0,3771.0,30.5,43.0,13.9
1,6,16/01/2010,13,3426.0,3711.0,32.0,41.5,16.65
1,6,16/01/2010,14,3331.0,3677.0,33.0,34.0,14.8
1,6,16/01/2010,15,3279.0,3627.0,33.0,27.67,10.53
1,6,16/01/2010,16,3293.0,3631.0,33.5,27.5,16.7
1,6,16/01/2010,17,3538.0,3829.0,33.0,38.0,13.0
1,6,16/01/2010,18,3835.0,3999.0,32.0,38.33,11.1
1,6,16/01/2010,19,3793.0,3924.0,29.0,54.5,11.1
1,6,16/01/2010,20,3652.0,3800.0,28.5,56.5,7.4
1,6,16/01/2010,21,3501.0,3645.0,28.0,50.0,9.3
1,6,16/01/2010,22,3300.0,3425.0,28.0,51.0,10.2
1,6,16/01/2010,23,3046.0,3145.0,27.5,51.0,3.7
1,6,16/01/2010,24,2817.0,2883.0,25.67,55.67,0.0
1,7,17/01/2010,1,2637.0,2696.0,27.0,54.0,5.6
1,7,17/01/2010,2,2538.0,2587.0,25.0,61.0,7.4
1,7,17/01/2010,3,2481.0,2531.0,23.0,68.5,0.0
1,7,17/01/2010,4,2461.0,2518.0,24.0,65.0,0.0
1,7,17/01/2010,5,2485.0,2561.0,24.0,65.0,0.0
1,7,17/01/2010,6,2573.0,2668.0,22.0,69.67,2.47
1,7,17/01/2010,7,2746.0,2876.0,23.0,65.0,2.8
1,7,17/01/2010,8,2969.0,3122.0,23.0,65.0,6.5
1,7,17/01/2010,9,3234.0,3336.0,23.33,64.0,4.97
1,7,17/01/2010,10,3404.0,3473.0,0.0,0.0,0.0
1,7,17/01/2010,11,3470.0,3510.0,29.0,41.0,13.9
1,7,17/01/2010,12,3511.0,3481.0,31.0,29.5,11.1
1,7,17/01/2010,13,3521.0,3426.0,32.0,29.0,18.5
1,7,17/01/2010,14,3478.0,3331.0,32.0,27.0,13.0
1,7,17/01/2010,15,3446.0,3279.0,32.5,21.5,19.45
1,7,17/01/2010,16,3493.0,3293.0,32.0,28.0,19.45
